lemma,total occ,num non neg,num neg,perc neg
deport,3013,2944,69,0.022900763358778626
contain,77582,75805,1777,0.022904797504575802
wonder,3830,3742,88,0.022976501305483028
take,386990,378084,8906,0.02301351456109977
undermine,3213,3139,74,0.023031434796140678
repress,1171,1144,27,0.02305721605465414
cover,61143,59732,1411,0.0230770488853998
pardon,1343,1312,31,0.02308265078183172
excel,2380,2325,55,0.023109243697478993
rap,865,845,20,0.023121387283236993
resemble,10290,10052,238,0.02312925170068027
execute,15728,15364,364,0.02314343845371312
license,7505,7331,174,0.02318454363757495
square,819,800,19,0.0231990231990232
distract,2367,2312,55,0.02323616392057457
provoke,3567,3484,83,0.023268853378188955
presume,3007,2937,70,0.023279015630196208
update,7772,7591,181,0.023288728769943385
note,57311,55976,1335,0.02329395752996807
excommunicate,858,838,20,0.023310023310023312
declare,34083,33288,795,0.02332541149546695
replenish,900,879,21,0.023333333333333334
label,6514,6362,152,0.023334356770033773
dispute,5614,5483,131,0.023334520840755255
transcribe,1455,1421,34,0.02336769759450172
sum,1455,1421,34,0.02336769759450172
discard,2566,2506,60,0.02338269680436477
master,2436,2379,57,0.023399014778325122
televise,3205,3130,75,0.0234009360374415
offset,1535,1499,36,0.023452768729641693
use,470858,459790,11068,0.023506025171070685
warn,9859,9627,232,0.02353179835683132
despise,977,954,23,0.02354145342886387
expose,14985,14632,353,0.02355689022355689
sow,849,829,20,0.023557126030624265
transmit,6573,6418,155,0.023581317511029973
attribute,13195,12883,312,0.023645320197044337
select,42161,41164,997,0.02364744669244088
enroll,1522,1486,36,0.023653088042049936
interven,1691,1651,40,0.02365464222353637
demonstrate,21085,20585,500,0.023713540431586435
discuss,24089,23517,572,0.023745277927684834
impart,1135,1108,27,0.02378854625550661
interrupt,5786,5648,138,0.023850674040788108
cater,2557,2496,61,0.023856081345326553
ring,1882,1837,45,0.023910733262486716
reelect,1630,1591,39,0.02392638036809816
pertain,2215,2162,53,0.023927765237020317
blind,1128,1101,27,0.023936170212765957
reward,3590,3504,86,0.02395543175487465
advance,20398,19909,489,0.023972938523384644
depend,21424,20910,514,0.02399178491411501
reference,4872,4755,117,0.02401477832512315
clear,11317,11045,272,0.02403463815498807
localize,1788,1745,43,0.024049217002237135
translate,17338,16921,417,0.024051216980043835
domesticate,955,932,23,0.024083769633507852
melt,2531,2470,61,0.024101145792177005
corrupt,1410,1376,34,0.024113475177304965
alert,2403,2345,58,0.024136496046608405
relate,14293,13948,345,0.024137689778213112
practise,3347,3266,81,0.02420077681505826
offer,83399,81380,2019,0.02420892336838571
subordinate,950,927,23,0.024210526315789474
value,5284,5156,128,0.024224072672218017
hurry,864,843,21,0.024305555555555556
signify,2710,2644,66,0.024354243542435424
inhibit,3449,3365,84,0.024354885474050448
dilute,821,801,20,0.024360535931790498
desire,7009,6838,171,0.02439720359537737
wane,1308,1276,32,0.024464831804281346
bite,1512,1475,37,0.02447089947089947
come,203097,198118,4979,0.02451537935075358
lament,1547,1509,38,0.02456367162249515
surface,2806,2737,69,0.02459016393442623
slow,4014,3915,99,0.02466367713004484
mate,1459,1423,36,0.02467443454420836
adjust,5665,5525,140,0.02471315092674316
picture,1172,1143,29,0.024744027303754267
imitate,2297,2240,57,0.024814976055724858
regard,37392,36463,929,0.024844886606760805
purge,844,823,21,0.024881516587677725
point,18426,17967,459,0.024910452621295993
bend,2127,2074,53,0.024917724494593323
give,242810,236757,6053,0.024928956797495985
submit,14184,13830,354,0.024957698815566837
yell,1281,1249,32,0.02498048399687744
shave,1197,1167,30,0.02506265664160401
air,22033,21540,493,0.022375527617664412
sacrifice,3144,3065,79,0.025127226463104325
suspect,9195,8963,232,0.02523110386079391
exploit,5144,5014,130,0.025272161741835147
colonize,1225,1194,31,0.025306122448979593
hamper,2094,2041,53,0.025310410697230182
harbor,867,845,22,0.025374855824682813
smell,827,806,21,0.02539298669891173
be,487105,474713,12392,0.02544010018373862
crack,2475,2412,63,0.025454545454545455
resume,11903,11600,303,0.02545576745358313
list,34152,33279,873,0.0255621925509487
claim,70577,68770,1807,0.025603241849327683
excavate,3865,3766,99,0.025614489003880983
prevail,4371,4259,112,0.02562342713337909
repeal,2650,2582,68,0.025660377358490565
veto,1286,1253,33,0.025660964230171075
adopt,33510,32648,862,0.02572366457773799
invent,7528,7334,194,0.025770456960680126
enact,5704,5557,147,0.025771388499298737
recall,13132,12793,339,0.02581480353335364
shrink,1743,1698,45,0.025817555938037865
reissue,1740,1695,45,0.02586206896551724
appropriate,1390,1354,36,0.025899280575539568
elicit,1274,1241,33,0.025902668759811617
abuse,3164,3082,82,0.025916561314791402
overwhelm,1967,1916,51,0.02592780884595831
access,8469,8249,220,0.02597709292714606
carry,72881,70984,1897,0.026028731768224914
express,28870,28118,752,0.026047800484932455
persecute,1497,1458,39,0.026052104208416832
wake,4067,3961,106,0.026063437423162035
degrade,2140,2084,56,0.026168224299065422
receive,184522,179691,4831,0.02618115997008487
render,8923,8717,206,0.023086405917292392
interpret,9305,9061,244,0.026222461042450296
overshadow,1253,1220,33,0.026336791699920193
overturn,3143,3060,83,0.026407890550429525
dissipate,1287,1253,34,0.02641802641802642
coincide,5691,5540,151,0.026533122474081884
muster,1953,1901,52,0.026625704045058884
perish,1651,1607,44,0.026650514839491216
sustain,10308,10033,275,0.026678308110205665
exclaim,862,839,23,0.02668213457076566
father,898,874,24,0.026726057906458798
emphasize,8963,8723,240,0.026776748856409686
emulate,1829,1780,49,0.026790595954073265
emphasise,1828,1779,49,0.026805251641137857
motivate,4886,4755,131,0.026811297584936552
rebuild,14091,13713,378,0.026825633383010434
