lemma,total occ,num non neg,num neg,perc neg
resort,1898,1847,51,0.026870389884088516
annul,891,867,24,0.026936026936026935
testify,6046,5883,163,0.026959973536222297
upheld,2705,2632,73,0.026987060998151572
miss,22947,22327,620,0.027018782411644224
threaten,19540,19011,529,0.02707267144319345
re-enter,1439,1400,39,0.027102154273801252
hint,2066,2010,56,0.027105517909002903
legalize,1254,1220,34,0.02711323763955343
generalize,1762,1714,48,0.02724177071509648
apologize,3375,3283,92,0.02725925925925926
stipulate,2164,2105,59,0.027264325323475048
shake,3556,3459,97,0.027277840269966255
capitalize,1387,1349,38,0.0273972602739726
restrain,1894,1842,52,0.027455121436114043
wire,910,885,25,0.027472527472527472
mature,2035,1979,56,0.027518427518427518
revisit,1308,1272,36,0.027522935779816515
disrupt,4231,4114,117,0.02765303710706689
breed,4988,4850,138,0.027666399358460304
favour,4000,3889,111,0.02775
excite,1621,1576,45,0.027760641579272053
act,40075,38961,1114,0.027797878976918277
confess,5180,5036,144,0.027799227799227798
differ,11604,11281,323,0.027835229231299552
fuse,2440,2372,68,0.027868852459016394
log,1685,1638,47,0.027893175074183978
return,166889,162231,4658,0.027910767036772945
patent,2537,2466,71,0.02798581001182499
exaggerate,2000,1944,56,0.028
engage,30414,29561,853,0.028046294469652133
annihilate,820,797,23,0.02804878048780488
challenge,14570,14161,409,0.028071379547014413
rest,5958,5790,168,0.028197381671701913
inquire,993,965,28,0.028197381671701913
encrypt,922,896,26,0.028199566160520606
remind,4111,3995,116,0.02821697883726587
envision,2402,2334,68,0.028309741881765195
test,14159,13758,401,0.028321209124938202
copy,4018,3904,114,0.028372324539571926
reinstate,2948,2864,84,0.028493894165535955
shout,2962,2889,73,0.02464550979068197
mourn,1220,1185,35,0.028688524590163935
exert,2196,2133,63,0.028688524590163935
check,6443,6258,185,0.028713332298618655
involve,83310,80911,2399,0.02879606289761133
repair,7215,7007,208,0.02882882882882883
stock,1283,1246,37,0.028838659392049885
convey,4668,4533,135,0.02892030848329049
detonate,1761,1710,51,0.028960817717206135
borne,2379,2310,69,0.029003783102143757
compete,37711,36617,1094,0.029010103152926202
authorise,2481,2409,72,0.02902055622732769
affirm,3410,3311,99,0.02903225806451613
convict,8712,8459,253,0.02904040404040404
categorize,1786,1734,52,0.029115341545352745
warm,1202,1167,35,0.029118136439267885
cease,12250,11893,357,0.029142857142857144
conceive,6238,6056,182,0.029176017954472586
posit,1233,1197,36,0.029197080291970802
swallow,1505,1461,44,0.029235880398671095
mandate,3246,3151,95,0.0292667898952557
override,1025,995,30,0.02926829268292683
perceive,9495,9217,278,0.02927856766719326
wage,1605,1558,47,0.029283489096573207
revoke,2244,2178,66,0.029411764705882353
register,18790,18235,555,0.029536987759446513
reuse,1620,1572,48,0.02962962962962963
go,237827,230774,7053,0.029656010461385798
overcome,6333,6145,188,0.029685772935417652
catch,23101,22449,652,0.028223886411843643
classify,12004,11647,357,0.029740086637787405
thrive,3538,3469,69,0.01950254381006218
grant,31559,30619,940,0.0297854811622675
share,39824,38637,1187,0.02980614704700683
pronounce,5458,5295,163,0.029864419201172592
disregard,1171,1136,35,0.029888983774551667
tag,1201,1165,36,0.02997502081598668
prevent,36708,35606,1102,0.030020703933747412
predict,9056,8784,272,0.030035335689045935
re-open,1730,1678,52,0.03005780346820809
prioritize,864,838,26,0.03009259259259259
fear,8852,8585,267,0.030162675101671938
assimilate,1656,1606,50,0.030193236714975844
favor,6245,6056,189,0.030264211369095278
transcend,991,961,30,0.030272452068617558
obscure,1385,1343,42,0.03032490974729242
manifest,2601,2522,79,0.03037293348712034
reach,95050,92154,2896,0.030468174644923723
stick,4890,4741,149,0.03047034764826176
wear,35209,34136,1073,0.03047516260047147
prescribe,3143,3047,96,0.030544066178810055
uphold,1702,1650,52,0.03055229142185664
pose,7194,6974,220,0.03058103975535168
press,7323,7099,224,0.03058855660248532
advertise,3919,3799,120,0.030620056136769585
alarm,1074,1041,33,0.030726256983240222
complete,84433,81821,2612,0.03093577155851385
decompose,905,877,28,0.030939226519337018
succeed,31072,30110,962,0.030960350154479916
deduce,1421,1377,44,0.03096410978184377
redeem,1257,1218,39,0.031026252983293555
embrace,5479,5309,170,0.031027559773681327
cry,3384,3279,105,0.03102836879432624
smile,1385,1342,43,0.03104693140794224
interact,6270,6075,195,0.03110047846889952
coerce,836,810,26,0.03110047846889952
exempt,1253,1214,39,0.03112529928172386
accomplish,8446,8183,263,0.031139000710395454
standardize,2596,2515,81,0.031201848998459167
impose,10435,10107,328,0.031432678485864875
flag,827,801,26,0.03143893591293833
entertain,2605,2523,82,0.03147792706333973
consume,7867,7619,248,0.03152408796237448
apprehend,1485,1438,47,0.03164983164983165
embarrass,1103,1068,35,0.03173164097914778
question,10334,10006,328,0.03173988774917747
contact,7781,7534,247,0.03174399177483614
supplant,1039,1006,33,0.03176130895091434
endure,3391,3283,108,0.03184901209082867
swim,3603,3488,115,0.031917846239245075
indicate,34262,33167,1095,0.03195960539373066
practice,13280,12855,425,0.032003012048192774
single,1341,1298,43,0.03206562266964952
betray,3272,3167,105,0.032090464547677264
discourage,2958,2863,95,0.03211629479377958
handle,13343,12914,429,0.03215169002473207
outlaw,1521,1472,49,0.032215647600262985
show,120666,116769,3897,0.03229575854010243
confer,3740,3619,121,0.03235294117647059
dispose,2627,2542,85,0.03235629996193377
sense,2005,1940,65,0.032418952618453865
surrender,9217,8918,299,0.03244005641748942
destine,1901,1839,62,0.03261441346659653
vote,24284,23480,804,0.03310821940372262
infer,1496,1447,49,0.032754010695187165
ignore,8730,8444,286,0.03276059564719359
solicit,946,915,31,0.03276955602536998
dispense,1129,1092,37,0.03277236492471213
regulate,9405,9096,309,0.0328548644338118
undergyne,2216,2143,73,0.03294223826714802
attest,2907,2811,96,0.033023735810113516
document,10931,10569,362,0.03311682371237764
suppose,10226,9887,339,0.03315079209857227
stir,1836,1775,61,0.0332244008714597
read,32905,31811,1094,0.033247226865218055
hate,4235,4094,141,0.0332939787485242
bar,1081,1045,36,0.03330249768732655
experience,21148,20443,705,0.03333648571968981
view,16970,16403,567,0.033411903358868594
baptize,2209,2135,74,0.033499320959710276
pit,2057,1988,69,0.03354399611084103
reopen,5331,5152,179,0.03357719002063403
trouble,2590,2503,87,0.03359073359073359
remark,5348,5168,180,0.033657442034405384
synchronize,1217,1176,41,0.03368940016433854
bow,1454,1405,49,0.03370013755158184
pick,18676,18045,631,0.033786678089526664
forbid,1918,1853,65,0.03388946819603754
caution,825,797,28,0.03393939393939394
observe,24558,23724,834,0.03396042022966039
laugh,3353,3239,114,0.033999403519236505
support,98348,94991,3357,0.03413389189409037
surpass,4570,4414,156,0.03413566739606127
regenerate,1052,1016,36,0.034220532319391636
joke,1312,1267,45,0.03429878048780488
diminish,4135,3993,142,0.0343409915356711
indict,2066,1995,71,0.03436592449177154
stand,45836,44257,1579,0.03444890479099398
scare,1178,1137,41,0.03480475382003396
respect,9099,8781,318,0.03494889548302011
find,229390,221347,8043,0.03506255721696674
proceed,13938,13448,490,0.03515568948199168
deprive,2758,2661,97,0.03517041334300217
complain,6446,6219,227,0.035215637604716105
ascribe,1582,1526,56,0.035398230088495575
conflict,2654,2560,94,0.03541823662396383
look,50561,48769,1792,0.03544233697909456
invoke,2734,2637,97,0.035479151426481344
impress,6457,6227,230,0.03562025708533375
lessen,1150,1109,41,0.035652173913043476
effect,2019,1947,72,0.03566121842496285
state,95145,91749,3396,0.03569288979977928
succumb,1816,1751,65,0.03579295154185022
enjoy,20321,19593,728,0.035825008611780916
vow,2580,2487,93,0.03604651162790698
impact,4378,4220,158,0.036089538602101415
eradicate,1302,1255,47,0.03609831029185868
welcome,5715,5508,207,0.03622047244094488
fake,1267,1221,46,0.036306235201262825
drink,6659,6417,242,0.03634179306202132
meet,90084,86786,3298,0.03661027485458017
deny,18787,18094,693,0.03688720924043221
occur,60518,58281,2237,0.03696420899567071
repeat,13603,13100,503,0.03697713739616261
have,842128,810977,31151,0.0369908137480288
appear,143333,138027,5306,0.03701869074114126
stress,4267,4109,158,0.03702835715959691
conclude,23649,22773,876,0.037041735379931495
prohibit,9303,8958,345,0.03708481135117704
assert,8808,8481,327,0.03712534059945504
commit,22524,21686,838,0.03720475936778547
function,8373,8061,312,0.03726262988176281
participate,48720,46903,1817,0.037294745484400656
formalize,1097,1056,41,0.037374658158614404
insist,9473,9118,355,0.037474928744853794
belong,26087,25109,978,0.03748993751677081
say,223248,214877,8371,0.03749641654124561
confide,1012,974,38,0.037549407114624504
wait,14661,14110,551,0.03758270240774845
subject,4252,4092,160,0.03762935089369708
interfer,955,919,36,0.03769633507853403
identify,39758,38259,1499,0.03770310377785603
contemplate,1825,1756,69,0.03780821917808219
entail,1797,1729,68,0.037840845854201444
treat,21640,20814,826,0.038170055452865066
survive,38822,37338,1484,0.03822574828705373
concede,3636,3497,139,0.03822882288228823
pursue,21574,20748,826,0.038286826735885786
arouse,1540,1481,59,0.03831168831168831
seek,46072,44305,1767,0.03835301267581177
reflect,22623,21755,868,0.03836803253326261
neglect,3152,3031,121,0.038388324873096444
change,79165,76119,3046,0.03847659950735805
rescind,1037,997,40,0.03857280617164899
cure,2789,2681,108,0.03872355683040516
flower,929,893,36,0.038751345532831
retract,1415,1360,55,0.038869257950530034
renounce,2005,1927,78,0.03890274314214464
achieve,36833,35399,1434,0.03893247902695952
aspire,1384,1330,54,0.03901734104046243
define,28449,27338,1111,0.039052339273788185
communicate,6628,6369,259,0.03907664453832227
guess,1970,1893,77,0.03908629441624366
assure,4703,4519,184,0.039123963427599405
benefit,8063,7745,318,0.03943941460994667
speak,53913,51781,2132,0.0395451931816074
attain,6818,6548,270,0.039601056028160754
reason,1177,1130,47,0.03993203058623619
reveal,51098,49042,2056,0.040236408469998826
frighten,1167,1120,47,0.04027420736932305
envisage,1191,1143,48,0.04030226700251889
reconcile,3502,3360,142,0.04054825813820674
charge,19767,18965,802,0.040572671624424544
react,4842,4645,197,0.04068566707971912
codify,1055,1012,43,0.04075829383886256
love,20092,19272,820,0.04081226358749751
publicize,2001,1919,82,0.04097951024487756
admit,21890,20992,898,0.04102329830973047
behave,2743,2630,113,0.04119577105359096
prosper,1500,1438,62,0.04133333333333333
insure,1174,1125,49,0.041737649063032366
delegate,1291,1237,54,0.041828040278853604
alienate,1553,1488,65,0.04185447520927238
validate,1694,1623,71,0.04191263282172373
argue,37719,36133,1586,0.0420477743312389
pretend,3420,3275,145,0.04239766081871345
comment,14879,14248,631,0.042408764029840715
retaliate,1149,1100,49,0.04264577893820714
anticipate,5163,4942,221,0.042804570985860935
apologise,1143,1094,49,0.04286964129483815
talk,18518,17761,757,0.04087914461604925
amount,4048,3873,175,0.04323122529644269
reappear,1942,1858,84,0.04325437693099897
indulge,946,905,41,0.04334038054968287
rain,896,857,39,0.04352678571428571
intimidate,1262,1207,55,0.043581616481774964
convince,16028,15329,699,0.04361118043424008
determine,35144,33606,1538,0.043762804461643524
levy,1483,1418,65,0.04383007417397168
appeal,7860,7515,345,0.04389312977099236
detect,9796,9366,430,0.043895467537770516
compensate,3413,3263,150,0.043949604453559915
rule,22631,21636,995,0.04396624099686271
regain,7974,7623,351,0.04401805869074492
class,1067,1020,47,0.044048734770384255
electrify,1768,1690,78,0.04411764705882353
remedy,816,780,36,0.04411764705882353
progress,7950,7598,352,0.04427672955974843
implicate,2457,2348,109,0.04436304436304436
dictate,2389,2283,106,0.044370029300962746
bind,14800,14143,657,0.04439189189189189
confirm,29956,28624,1332,0.044465215649619444
sound,7241,6919,322,0.044468995995028314
blame,7552,7216,336,0.04449152542372881
inform,16959,16202,757,0.04463706586473259
eat,16464,15727,737,0.04476433430515063
opin,1538,1469,69,0.044863459037711315
pay,56380,53846,2534,0.04494501596310749
breach,1924,1837,87,0.04521829521829522
bet,817,780,37,0.04528763769889841
mean,66950,63910,3040,0.04540702016430172
elaborate,2111,2015,96,0.045476077688299386
compel,3073,2933,140,0.04555808656036447
yield,6373,6082,291,0.045661383963596425
deem,8407,8023,384,0.04567622219578922
distinguish,13254,12641,613,0.0462501886223027
authorize,7846,7483,363,0.0462656130512363
alter,10325,9847,478,0.0462953995157385
erase,1640,1564,76,0.046341463414634146
correct,3871,3691,180,0.04649961250322914
recommend,15634,14906,728,0.046565178457208645
repay,1052,1003,49,0.04657794676806084
tell,81808,77985,3823,0.04673137101505965
reproduce,3776,3599,177,0.046875
exclude,8647,8238,409,0.04729964149415983
agree,43536,41476,2060,0.04731716280779125
affiliate,7959,7581,378,0.047493403693931395
implement,17862,17010,852,0.04769902586496473
address,19414,18487,927,0.04774904707942722
disqualify,1904,1813,91,0.04779411764705882
cooperate,3597,3425,172,0.047817625799277175
explain,34393,32745,1648,0.047916727241008344
obstruct,1250,1190,60,0.048
differentiate,3513,3344,169,0.04810703102761173
see,200645,190980,9665,0.04816965286949588
dream,2478,2357,121,0.048829701372074256
constitute,9679,9204,475,0.04907531769810931
bowl,2154,2048,106,0.04921077065923862
overlap,2762,2626,136,0.049239681390296886
rely,11943,11351,592,0.04956878506237963
censor,1411,1341,70,0.04961020552799433
penetrate,3460,3288,172,0.04971098265895954
pan,1005,955,50,0.04975124378109453
lend,2421,2300,121,0.049979347377116894
quantify,1079,1025,54,0.05004633920296571
notify,2637,2505,132,0.05005688282138794
listen,8858,8414,444,0.0501241815308196
utter,937,890,47,0.05016008537886873
align,4321,4101,220,0.050914140245313586
profit,1174,1114,60,0.05110732538330494
contend,3254,3087,167,0.05132145052243393
correspond,9115,8814,301,0.033022490400438836
sleep,6163,5842,321,0.05208502352750284
rectify,819,776,43,0.052503052503052504
extinguish,1369,1297,72,0.052593133674214754
get,115272,109207,6065,0.0526146852661531
oblige,2800,2652,148,0.05285714285714286
heal,2830,2680,150,0.053003533568904596
exist,57656,54590,3066,0.05317746635215762
deceive,1270,1202,68,0.05354330708661417
endorse,6412,6068,344,0.053649407361197755
solve,9060,8572,488,0.053863134657836646
contradict,2128,2013,115,0.05404135338345865
restrict,11370,10750,620,0.05452946350043975
prove,35996,34017,1979,0.05497833092565841
endanger,834,788,46,0.05515587529976019
consult,4704,4444,260,0.055272108843537414
venture,2115,1998,117,0.05531914893617021
possess,12525,11831,694,0.05540918163672655
respond,19093,18017,1076,0.056355732467396426
cheat,1204,1136,68,0.05647840531561462
resist,6954,6560,394,0.056658038538970376
punish,4389,4138,251,0.05718842560947824
acknowledge,10610,9998,612,0.05768143261074458
surprise,4781,4505,276,0.05772850868019243
expect,31165,29365,1800,0.05775709931012354
approve,23838,22458,1380,0.05789076264787314
impair,1293,1218,75,0.058004640371229696
consider,98990,93238,5752,0.058106879482776035
reassure,892,840,52,0.05829596412556054
intend,33664,31699,1965,0.05837096007604563
do,157863,148619,9244,0.05855710331109886
breathe,1861,1752,109,0.05857066093498119
race,6879,6539,340,0.04942578863206862
account,8054,7617,437,0.054258753414452444
last,21904,20611,1293,0.05903031409788167
discern,846,796,50,0.0591016548463357
object,3626,3411,215,0.05929398786541644
judge,5190,4881,309,0.05953757225433526
smoke,1935,1819,116,0.059948320413436694
constrain,1379,1296,83,0.06018854242204496
imply,9164,8611,553,0.0603448275862069
intervene,3521,3308,213,0.06049417779040046
hear,32205,30251,1954,0.06067380841484241
feel,49004,46023,2981,0.06083176883519713
know,278153,261211,16942,0.06090892422515666
figure,3252,3053,199,0.06119311193111931
hinder,2324,2181,143,0.06153184165232358
require,78957,74095,4862,0.06157782083919095
apply,39043,36624,2419,0.061957329098686065
correlate,2610,2448,162,0.06206896551724138
sanction,2752,2581,171,0.062136627906976744
relinquish,2073,1944,129,0.06222865412445731
notice,8527,7995,532,0.06239005511903366
need,56093,52590,3503,0.06244986005383916
relent,814,763,51,0.06265356265356266
discount,1082,1014,68,0.06284658040665435
equal,2224,2084,140,0.06294964028776978
reply,6289,5891,398,0.06328510096994752
stop,39278,36783,2495,0.06352156423443149
qualify,19858,18595,1263,0.06360157115520193
mistaken,1170,1095,75,0.0641025641025641
allow,124858,116792,8066,0.06460138717583175
spare,3296,3082,214,0.06492718446601942
fulfill,2987,2793,194,0.06494810847003682
subscribe,1413,1321,92,0.06510969568294409
incline,1320,1234,86,0.06515151515151515
seem,35614,33283,2331,0.06545178862245185
field,3175,2967,208,0.06551181102362205
believe,74181,69280,4901,0.06606813065340181
re-sign,2604,2431,173,0.06643625192012288
chart,4849,4524,325,0.06702412868632708
remember,14636,13653,983,0.06716315933315113
exercise,4778,4457,321,0.06718292172457095
resolve,9601,8954,647,0.0673888136652432
abide,1108,1033,75,0.06768953068592058
adhere,2848,2655,193,0.06776685393258428
cope,2228,2075,153,0.06867145421903052
equate,1265,1177,88,0.06956521739130435
clarify,2992,2783,209,0.06985294117647059
finalize,2037,1892,145,0.07118311242022582
think,64746,60092,4654,0.07188088839464986
recognize,33395,30979,2416,0.07234615960473124
accustom,935,867,68,0.07272727272727272
replicate,2598,2409,189,0.07274826789838337
risk,2333,2162,171,0.0732961851693099
justify,5379,4983,396,0.0736196319018405
deviate,971,899,72,0.07415036045314109
deserve,3560,3296,264,0.07415730337078652
offend,2195,2032,163,0.07425968109339408
happen,25437,23505,1932,0.07595235287180092
recognise,11081,10237,844,0.07616641097373883
enforce,6443,5950,493,0.07651715039577836
compromise,2924,2700,224,0.07660738714090287
corroborate,847,782,65,0.07674144037780402
taste,925,854,71,0.07675675675675675
please,1117,1031,86,0.07699194270367055
fit,17497,16142,1355,0.07744184717380122
affect,31029,28622,2407,0.07757259338038609
grasp,1144,1054,90,0.07867132867132867
accept,47479,43724,3755,0.07908759662166431
recover,19429,17892,1537,0.07910854907612332
confine,4146,3817,329,0.07935359382537385
limit,25813,23693,2120,0.0821291597257196
touch,7478,6861,617,0.08250869216368013
fulfil,4200,3848,352,0.0838095238095238
duplicate,1219,1116,103,0.0844954881050041
violate,7024,6430,594,0.08456719817767654
wish,13253,12128,1125,0.08488644080585528
imagine,4182,3827,355,0.08488761358201817
doubt,2049,1873,176,0.08589555880917521
mention,35042,31989,3053,0.08712402260144969
remarry,2494,2275,219,0.08781074578989576
match,10705,9761,944,0.088183092013078
guarantee,6318,5756,562,0.08895220006331117
let,23975,21841,2134,0.08900938477580814
tax,1291,1176,115,0.08907823392718822
regret,1947,1773,174,0.08936825885978428
prosecute,3242,2952,290,0.08945095619987661
hurt,4594,4179,415,0.09033521985198084
specify,7936,7199,737,0.0928679435483871
disturb,2777,2519,258,0.09290601368383147
appreciate,4324,3919,405,0.09366327474560592
realize,19588,17753,1835,0.09367980396160915
suit,5298,4796,502,0.0947527368818422
withstand,1759,1591,168,0.09550881182490051
verify,3436,3105,331,0.09633294528521537
ascertain,1161,1049,112,0.09646856158484066
realise,6496,5868,628,0.09667487684729065
fool,932,841,91,0.09763948497854077
satisfy,2931,2643,288,0.09825997952917093
plead,4694,4226,468,0.09970174691095014
obey,1958,1759,199,0.10163432073544433
ratify,2812,2520,292,0.10384068278805121
warrant,1259,1127,132,0.10484511517077046
consent,1191,1065,126,0.10579345088161209
disappoint,2101,1878,223,0.10613993336506425
waste,1945,1738,207,0.106426735218509
comply,4259,3782,477,0.11199812162479456
answer,8239,7307,932,0.1131205243354776
worry,4106,3614,492,0.11982464685825621
count,8424,7389,1035,0.12286324786324786
want,72564,63018,9546,0.13155283611708285
forgive,2369,2054,315,0.13296749683410722
understand,22172,19172,3000,0.13530579108785856
permit,13746,11875,1871,0.1361123235850429
deter,1462,1263,199,0.13611491108071136
renew,9128,7870,1258,0.137817703768624
exceed,8561,7377,1184,0.13830160028034108
discriminate,1567,1350,217,0.13848117421825143
preclude,1036,892,144,0.138996138996139
contest,9322,8793,529,0.056747479081742117
conform,2198,1873,325,0.14786169244767972
harm,2772,2348,424,0.15295815295815296
fare,1259,1047,212,0.16838760921366164
like,15655,12909,2746,0.17540721814116897
care,7008,5753,1255,0.1790810502283105
trust,4874,4001,873,0.17911366434140336
forget,7999,6536,1463,0.1828978622327791
interfere,3445,2784,661,0.1918722786647315
tolerate,2669,2086,583,0.218433870363432
disclose,3368,2630,738,0.21912114014251782
dare,1454,1130,324,0.22283356258596973
afford,5450,3932,1518,0.2785321100917431
confuse,6385,4329,2056,0.3220046985121378
hesitate,1061,678,383,0.3609802073515551
matter,1669,1020,649,0.38885560215698023
bother,1331,791,540,0.40570999248685197
mind,876,463,413,0.4714611872146119
materialize,1135,577,558,0.49162995594713654
